strand,outcome,predictor,n,n_events,or_primary,ci_lo_primary,ci_hi_primary,p_primary,or_adjusted,ci_lo_adjusted,ci_hi_adjusted,p_adjusted,lrt_chi2,lrt_df,lrt_p,base_auc,behaviors_auc,adjusted_auc,auc_improvement,base_aic,behaviors_aic,adjusted_aic
within-person,Hypertension,SD daily amplitude,950,154,0.9974751601641998,0.8305996548584532,1.1978775687237095,0.9784087147391971,0.8897354062044419,0.7124612989664298,1.1111187291186235,0.3027557660671121,1.211786284292657,1,0.2709786411993299,0.5818296025582457,0.611817202897605,0.6103569797037134,-0.0014602231938916077,837.6019874408289,833.3430226967208,834.1312364124282
within-person,Hypertension,SD daily acrophase,950,154,1.303009283539387,1.111833760674229,1.5270566995197559,0.0010774100383678163,1.2824750596394674,1.0887603465946523,1.5106559342848631,0.002903134026128893,8.459590585833666,1,0.0036312358417976975,0.6223161260849703,0.611817202897605,0.634332376166547,0.022515173268942035,827.7178432199776,833.3430226967208,826.8834321108872
comorbidity,dep_anchor → obesity onset,mesor,219,37,1.4020520556953335,0.9899810580111955,1.9856440191174654,0.05700754510595354,1.5927837054053346,1.0764254307187477,2.3568376032427776,0.019894122077480692,5.4658011433155025,1,0.019392161812422426,0.6208791208791209,0.6314226314226314,0.6614196614196615,0.029997029997030022,201.83479120095484,205.16524945236142,201.69944830904592
comorbidity,dep_anchor → obesity onset,amplitude,219,37,1.3007789892081045,0.9222286354284478,1.8347142061785784,0.1339834832925047,1.3660057579979652,0.9531436804046747,1.9577024631704663,0.08939358138194456,2.5512261825771247,1,0.11020869257338295,0.5991980991980993,0.6314226314226314,0.6342441342441343,0.0028215028215028415,203.11859670520863,205.16524945236142,204.6140232697843
comorbidity,dep_anchor → obesity onset,acrophase,219,37,1.1970659743629732,0.834344801935242,1.717475729043728,0.32875271520401383,0.9899505714910503,0.6555701239030634,1.4948852887938593,0.9616911667626242,0.0021578130836132914,1,0.9629497786225416,0.588951588951589,0.6314226314226314,0.632016632016632,0.0005940005940006099,204.19043357749268,205.16524945236142,207.1630916392778
comorbidity,dep_anchor → obesity onset,SD daily mesor,209,36,1.4771196356466405,1.031520203065193,2.1152105518916016,0.033224159940361174,1.4785656587319853,1.0030618037494157,2.179483257172949,0.04822205800298735,4.266516709625705,1,0.03887053431517851,0.6103082851637766,0.6295761078998073,0.6779062299293512,0.0483301220295439,194.1969306442259,198.6399231716794,196.3734064620537
comorbidity,dep_anchor → obesity onset,SD daily amplitude,209,36,1.2205364398907605,0.8794744904636154,1.693862888866636,0.23331092246979823,1.1859856967660445,0.764547438242495,1.8397315883589604,0.44637716176096776,0.6155097379036931,1,0.43272080634612786,0.5836544637122671,0.6295761078998073,0.6363198458574181,0.00674373795761074,197.75638845762302,198.6399231716794,200.02441343377572
comorbidity,dep_anchor → obesity onset,SD daily acrophase,209,36,0.8123329300341243,0.5619413623003323,1.1742947458371056,0.26896899382067907,0.6679549141027674,0.442411871542715,1.0084805493989961,0.05488462483611754,3.363721867082347,1,0.06664728201589698,0.5695247270391779,0.6295761078998073,0.6543031470777135,0.024727039177906196,197.9347372219283,198.6399231716794,197.27620130459707
comorbidity,obesity_anchor → depression onset,mesor,859,100,1.1247982345661833,0.8992236178035387,1.4069593407405543,0.3031003253222285,1.1143086510042661,0.8866910483347348,1.4003567218084725,0.3531948473083856,0.9106915631026595,1,0.3399309932533887,0.546600790513834,0.5616205533596839,0.5670355731225296,0.005415019762845752,624.285609299542,627.2960877175052,628.3853961544025
comorbidity,obesity_anchor → depression onset,amplitude,859,100,1.056970589527882,0.8583422559680263,1.3015633558282307,0.6018831820435571,1.0728099972938292,0.8522741072711074,1.350412127359724,0.5494568575909953,0.32573382620296343,1,0.5681820302722181,0.5319367588932806,0.5616205533596839,0.5677602108036891,0.006139657444005242,625.2001844614877,627.2960877175052,628.9703538913022
comorbidity,obesity_anchor → depression onset,acrophase,859,100,0.9344799374416589,0.7748264236461281,1.1270301667974492,0.4783733330181831,0.896536827836755,0.7358100339130147,1.092372007205615,0.2785978344440698,1.1028914407817183,1,0.2936324285092822,0.539407114624506,0.5616205533596839,0.5775098814229249,0.01588932806324106,625.033554789338,627.2960877175052,628.1931962767235
comorbidity,obesity_anchor → depression onset,SD daily mesor,835,98,1.0705935789092293,0.8782880394177031,1.3050053738197016,0.49951661255339064,1.0123325847642304,0.8195923337716462,1.2503987896755526,0.9094398158986844,0.011264312032494672,1,0.9154764612023425,0.5301553457203776,0.5646858472018388,0.5632874588098469,-0.0013983883919919116,611.0043629855089,612.6686213496072,614.6573570375747
comorbidity,obesity_anchor → depression onset,SD daily amplitude,835,98,1.075770303256892,0.9006936733684093,1.284878288354607,0.42029986422766685,1.0117359676840059,0.8060275070893547,1.2699438410009702,0.9198636047465256,0.008471520968782897,1,0.9266655711972737,0.5319137152825851,0.5646858472018388,0.5648796832165702,0.00019383601473144108,610.957945076777,612.6686213496072,614.6601498286384
comorbidity,obesity_anchor → depression onset,SD daily acrophase,835,98,0.99139528809815,0.8214442907166773,1.1965079414036754,0.9282302755634178,0.9353993511510412,0.7573659327215375,1.155282946236627,0.5352857581209063,0.3305906765914415,1,0.5653114831363537,0.5229280314568161,0.5646858472018388,0.566499598482541,0.0018137512807021583,611.41597829305,612.6686213496072,614.3380306730157
